oar,"1. An implement for impelling a boat, being a slender piece of timber, usually ash or spruce, with a grip or handle at one end and a broad blade at the other. The part which rests in the rowlock is called the loom. Note: An oar is a kind of long paddle, which swings about a kind of fulcrum, called a rowlock, fixed to the side of the boat. 2. An oarsman; a rower; as, he is a good car. 3. (ZoÃ¶l.)  An oarlike swimming organ of various invertebrates. Oar cock (ZoÃ¶l), the water rail. [Prov. Eng.] -- Spoon oar, an oar having the blade so curved as to afford a better hold upon the water in rowing. -- To boat the oars, to cease rowing, and lay the oars in the boat. -- To feather the oars. See under Feather., v. t. -- To lie on the oars, to cease pulling, raising the oars out of water, but not boating them; to cease from work of any kind; to be idle; to rest. -- To muffle the oars, to put something round that part which rests in the rowlock, to prevent noise in rowing. -- To put in one's oar, to give aid or advice; -- commonly used of a person who obtrudes aid or counsel not invited. -- To ship the oars, to place them in the rowlocks. -- To toss the oars, To peak the oars, to lift them from the rowlocks and hold them perpendicularly, the handle resting on the bottom of the boat. -- To trail oars, to allow them to trail in the water alongside of the boat. -- To unship the oars, to take them out of the rowlocks.  To row. ""Oared himself."" Shak. Oared with laboring arms. Pope."
oar-footed,Having feet adapted for swimming.
oared,"1. Furnished with oars; -- chiefly used in composition; as, a four- oared boat. 2. (ZoÃ¶l.) (a) Having feet adapted for swimming. (b) Totipalmate; -- said of the feet of certain birds. See Illust. of Aves. Oared shrew (ZoÃ¶l.), an aquatic European shrew (Crossopus ciliatus); -- called also black water shrew."
oarfish,The ribbon fish.
oarfoot,Any crustacean of the genus Remipes.
oarless,Without oars. Sylvester.
oarlock,"The notch, fork, or other device on the gunwale of a boat, in which the oar rests in rowing.  See Rowlock."
oarsman,"One who uses, or is skilled in the use of, an oar; a rower. At the prow of the boat, rose one of the oarsmen. Longfellow."
oarsweed,Any large seaweed of the genus Laminaria; tangle; kelp.  See Kelp.
oary,"Having the form or the use of an oar; as, the swan's oary feet. Milton. Addison."
oasis,"A fertile or green spot in a waste or desert, esp. in a sandy desert. My one oasis in the dust and drouth Of city life. Tennyson."
oast,A kiln to dry hops or malt; a cockle. Mortimer.
oatcake,A cake made of oatmeal.
oaten,"1. Consisting of an oat straw or stem; as, an oaten pipe. Milton. 2. Made of oatmeal; as, oaten cakes."
oath,"1. A solemn affirmation or declaration, made with a reverent appeal to God for the truth of what is affirmed. ""I have an oath in heaven"" Shak. An oath of secrecy for the concealing of those [inventions] which we think fit to keep secret. Bacon. 2. A solemn affirmation, connected with a sacred object, or one regarded as sacred, as the temple, the altar, the blood of Abel, the Bible, the Koran, etc. 3. (Law)  An appeal (in verification of a statement made) to a superior sanction, in such a form as exposes the party making the appeal to an indictment for perjury if the statement be false. 4. A careless and blasphemous use of the name of the divine Being, or anything divine or sacred, by way of appeal or as a profane exclamation or ejaculation; an expression of profane swearing. ""A terrible oath"" Shak."
oathable,Capable of having an oath administered to. [Obs.] Shak.
oathbreaking,The violation of an oath; perjury. Shak
oatmeal,1. Meal made of oats. Gay. 2. (Bot.)  A plant of the genus Panicum; panic grass.
ob-,"A prefix signifying to, toward, before, against, reversely, etc.; also, as a simple intensive; as in oblige, to bind to; obstacle, something standing before; object, lit., to throw against; obovate, reversely, ovate. Ob- is commonly assimilated before c, f, g, and p, to oc-, of-, og-, and op-."
obbe,See Obi.
obcompressed,"Compressed or flattened antero-posteriorly, or in a way opposite to the usual one."
obconic,"Conical, but having the apex downward; inversely conical."
obconical,"Conical, but having the apex downward; inversely conical."
obcordate,"Heart-shaped, with the attachment at the pointed end; inversely cordate: as, an obcordate petal or leaf."
obdiplostemonous,"Having twice as many stamens as petals, those of the outer set being opposite the petals; -- said of flowers. Gray."
obdiplostemony,The condition of being obdiplostemonous.
obdormition,Sleep. [Obs.] Bp. Hall.
obduce,"To draw over, as a covering. [Obs.] Sir M. Hale."
obduct,To draw over; to cover. [Obs.] Sir T. Browne.
obduction,".The act of drawing or laying over, as a covering. [Obs.]"
obduracy,"The duality or state of being obdurate; invincible hardness of heart; obstinacy. ""Obduracy and persistency."" Shak. The absolute completion of sin in final obduracy. South."
obdurate,"1. Hardened in feelings, esp. against moral or mollifying influences; unyielding; hard-hearted; stubbornly wicked. The very custom of evil makes the heart obdurate against whatsoever instructions to the contrary. Hooker. Art thou obdurate, flinty, hard as steel, Nay, more than flint, for stone at rain relenteth Shak. 2. Hard; harsh; rugged; rough; intractable. ""Obdurate consonants."" Swift. Note: Sometimes accented on the second syllable, especially by the older poets. There is no flesh in man's obdurate heart. Cowper. Syn. -- Hard; firm; unbending; inflexible; unyielding; stubborn; obstinate; impenitent; callous; unfeeling; insensible; unsusceptible. -- Obdurate, Callous, Hardened. Callous denotes a deadening of the sensibilities; as. a callous conscience. Hardened implies a general and settled disregard for the claims of interest, duty, and sympathy; as, hardened in vice. Obdurate implies an active resistance of the heart and will aganst the pleadings of compassion and humanity. -- Ob""du*rate*ly, adv. -- Ob""du*rate*ness, n.  To harden. [Obs.]"
obduration,A hardening of the heart; hardness of heart. [Obs.]
obdure,"To harden. [Obs.] Milton.  Obdurate; hard. [Obs.] This saw his hapless foes, but stood obdured. Milton."
obdured,"Obdurate; hard. [Obs.] This saw his hapless foes, but stood obdured. Milton."
obduredness,Hardness. [Obs.] Bp. Hall.
obdureness,Hardness. [Obs.] Bp. Hall.
obe,See Obi.
obeah,"Same as Obi. -- a.  Of or pertaining to obi; as, the obeah man. B. Edwards."
obedible,Obedient. [Obs.] Bp. Hall.
obedience,"1. The act of obeying, or the state of being obedient; compliance with that which is required by authority; subjection to rightful restraint or control. Government must compel the obedience of individuals. Ames. 2. Words or actions denoting submission to authority; dutifulness. Shak. 3. (Eccl.) (a) A following; a body of adherents; as, the Roman Catholic obedience, or the whole body of persons who submit to the authority of the pope. (b) A cell (or offshoot of a larger monastery) governed by a prior. (c) One of the three monastic vows. Shipley. (d) The written precept of a superior in a religious order or congregation to a subject. Canonical obedience. See under Canonical. -- Passive obedience. See under Passive."
obedienciary,One yielding obedience. [Obs.] Foxe.
obedient,"Subject in will or act to authority; willing to obey; submissive to restraint, control, or command. And floating straight, obedient to the stream. Shak. The chief his orders gives; the obedient band, With due observance, wait the chief's command. Pope. Syn. -- Dutiful; respectful; compliant; submissive."
obediential,According to the rule of obedience. [R.] An obediental subjection to the Lord of Nature. Sir M. Hale.
obediently,In an obedient manner; with obedience.
obeisance,1. Obedience. [Obs.] Chaucer. 2. A manifestation of obedience; an expression of difference or respect; homage; a bow; a courtesy. Bathsheba bowed and did obeisance unto the king. 1 Kings i. 16.
obeisancy,See Obeisance. [Obs.]
obeisant,"Ready to obey; reverent; differential; also, servilely submissive."
obelion,The region of the skull between the two parietal foramina where the closure of the sagittal suture usually begins.
obeliscal,Formed like an obelisk.
obelisk,"1. An upright, four-sided pillar, gradually tapering as it rises, and terminating in a pyramid called pyramidion. It is ordinarily monolithic. Egyptian obelisks are commonly covered with hieroglyphic writing from top to bottom. 2. (Print.)  A mark of reference; -- called also dagger [&dag;]. See Dagger, n., 2.  To mark or designate with an obelisk."
obelize,To designate with an obelus; to mark as doubtful or spirituous. [R.]
obelus,"A mark [thus ---, or Ã·]; -- so called as resembling a needle. In old MSS. or editions of the classics, it marks suspected passages or readings."
obequitate,"To ride about. [Obs.] -- Ob*eq`ui*ta""tion, n. [Obs.] Cockerman."
oberon,"The king of the fairies, and husband of Titania or Queen Mab. Shak."
oberration,A wandering about. [Obs.] Jonhson.
obese,Excessively corpulent; fat; fleshy.
obeseness,Quality of being obese; obesity.
obesity,The state or quality of being obese; incumbrance of flesh.
obey,"1. To give ear to; to execute the commands of; to yield submission to; to comply with the orders of. Children, obey your parents in the Lord. Eph. vi. 1. Was she the God, that her thou didst obey Milton. 2. To submit to the authority of; to be ruled by. My will obeyed his will. Chaucer. Afric and India shall his power obey. Dryden. 3. To yield to the impulse, power, or operation of; as, a ship obeys her helm.  To give obedience. Will he obey when one commands Tennyson. Note: By some old writers obey was used, as in the French idiom, with the preposition to. His servants ye are, to whom ye obey. Rom. vi. 16. He commanded the trumpets to sound: to which the two brave knights obeying, they performed their courses. Sir. P. Sidney."
obeyer,One who yields obedience. Holland.
obeyingly,Obediently; submissively.
obfirm,To make firm; to harden in resolution. [Obs.] Bp. Hall. Sheldon.
obfirmate,To make firm; to harden in resolution. [Obs.] Bp. Hall. Sheldon.
obfirmation,Hardness of heart; obduracy. [Obs.] Jer. Taylor.
obfuscate,"Obfuscated; darkened; obscured. [Obs.] [Written also offuscate.] Sir. T. Elyot.  To darken; to obscure; to becloud; hence, to confuse; to bewilder. His head, like a smokejack, the funnel unswept, and the ideas whirling round and round about in it, all obfuscated and darkened over with fuliginous matter. Sterne. Clouds of passion which might obfuscate the intellects of meaner females. Sir. W. Scott."
obfuscation,"The act of darkening or bewildering; the state of being darkened. ""Obfuscation of the cornea."" E. Darwin."
obi,"1. A species of sorcery, probably of African origin, practiced among the negroes of the West Indies. [Written also obe and obeah.] De Quincey. B. Edwards. 2. A charm or fetich. [West Indies] B. Edwards."
obiism,"Belief in, or the practice of, the obi superstitions and rites."
obimbricate,"Imbricated, with the overlapping ends directed downward."
obit,"1. Death; decease; the date of one's death. Wood. 2. A funeral solemnity or office; obsequies. 3. A service for the soul of a deceased person on the anniversary of the day of his death. The emoluments and advantages from oblations, obits, and other sources, increased in value. Milman. Post obit Etym: [L. post obitum]. See Post-obit."
obiter,"In passing; incidentally; by the way. Obiter dictum (Law), an incidental and collateral opinion uttered by a judge. See Dictum, n., 2(a)."
obitual,"Of or pertaining to obits, or days when obits are celebrated; as, obitual days. Smart."
obituarily,In the manner of an obituary.
obituary,"Of or pertaining to the death of a person or persons; as, an obituary notice; obituary poetry.  1. That which pertains to, or is called forth by, the obit or death of a person; esp., an account of a deceased person; a notice of the death of a person, accompanied by a biographical sketch. 2. (R.C.Ch.)  A list of the dead, or a register of anniversary days when service is performed for the dead."
object,"1. To set before or against; to bring into opposition; to oppose. [Obs.] Of less account some knight thereto object, Whose loss so great and harmful can not prove. Fairfax. Some strong impediment or other objecting itself. Hooker. Pallas to their eyes The mist objected, and condensed the skies. Pope. 2. To offer in opposition as a criminal charge or by way of accusation or reproach; to adduce as an objection or adverse reason. He gave to him to object his heinous crime. Spencer. Others object the poverty of the nation. Addison. The book ... giveth liberty to object any crime against such as are to be ordered. Whitgift.  To make opposition in words or argument; -- usually followed by to. Sir. T. More.  1. That which is put, or which may be regarded as put, in the way of some of the senses; something visible or tangible; as, he observed an object in the distance; all the objects in sight; he touched a strange object in the dark. 2. That which is set, or which may be regarded as set, before the mind so as to be apprehended or known; that of which the mind by any of its activities takes cognizance, whether a thing external in space or a conception formed by the mind itself; as, an object of knowledge, wonder, fear, thought, study, etc. Object is a term for that about which the knowing subject is conversant; what the schoolmen have styled the ""materia circa quam."" Sir. W. Hamilton. The object of their bitterest hatred. Macaulay. 3. That by which the mind, or any of its activities, is directed; that on which the purpose are fixed as the end of action or effort; that which is sought for; end; aim; motive; final cause. Object, beside its proper signification, came to be abusively applied to denote motive, end, final cause.... This innovation was probably borrowed from the French. Sir. W. Hamilton. Let our object be, our country, our whole country, and nothing but our country. D. Webster. 4. Sight; show; appearance; aspect. [Obs.] Shak. He, advancing close Up to the lake, past all the rest, arose In glorious object. Chapman. 5. (Gram.)  A word, phrase, or clause toward which an action is directed, or is considered to be directed; as, the object of a transitive verb. Object glass, the lens, or system of lenses, placed at the end of a telescope, microscope, etc., which is toward the object. Its office is to form an image of the object, which is then viewed by the eyepiece. Called also objective. See Illust. of Microscope. -- Object lesson, a lesson in which object teaching is made use of. -- Object staff. (Leveling) Same as Leveling staff. -- Object teaching, a method of instruction, in which illustrative objects are employed, each new word or idea being accompanied by a representation of that which it signifies; -- used especially in the kindergarten, for young children.  Opposed; presented in opposition; also, exposed. [Obs.]"
objectable,Such as can be presented in opposition; that may be put forward as an objection. [R.]
objectify,To cause to become an object; to cause to assume the character of an object; to render objective. J. D. Morell.
objection,"1. The act of objecting; as, to prevent agreement, or action, by objection. Johnson. 2. That which is, or may be, presented in opposition; an adverse reason or argument; a reason for objecting; obstacle; impediment; as, I have no objection to going; unreasonable objections. ""Objections against every truth."" Tyndale. 3. Cause of trouble; sorrow. [Obs. or R.] He remembers the objection that lies in his bosom, and he sighs deeply. Jer. Taylor. Syn. -- Exception; difficulty; doubt; scruple."
objectionable,"Liable to objection; likely to be objected to or disapproved of; offensive; as, objectionable words. -- Ob*jec""tion*a*bly, adv."
objectist,"One who adheres to, or is skilled in, the objective philosophy. Ed. Rev."
objectivate,To objectify.
objectivation,Converting into an object.
objective,"1. Of or pertaining to an object. 2. (Metaph.)  Of or pertaining to an object; contained in, or having the nature or position of, an object; outward; external; extrinsic; -- an epithet applied to whatever ir exterior to the mind, or which is simply an object of thought or feeling, and opposed to subjective. In the Middle Ages, subject meant substance, and has this sense in Descartes and Spinoza: sometimes, also, in Reid. Subjective is used by William of Occam to denote that which exists independent of mind; objective, what is formed by the mind. This shows what is meant by realitas objectiva in Descartes. Kant and Fichte have inverted the meanings. Subject, with them, is the mind which knows; object, that which is known; subjective, the varying conditions of the knowing mind; objective, that which is in the constant nature of the thing known. Trendelenburg. Objective means that which belongs to, or proceeds from, the object known, and not from the subject knowing, and thus denotes what is real, in opposition to that which is ideal -- what exists in nature, in contrast to what exists merely in the thought of the individual. Sir. W. Hamilton. Objective has come to mean that which has independent exostence or authority, apart from our experience or thought. Thus, moral law is said to have objective authority, that is, authority belonging to itself, and not drawn from anything in our nature. Calderwood (Fleming's Vocabulary). 3. (Gram.)  Pertaining to, or designating, the case which follows a transitive verb or a preposition, being that case in which the direct object of the verb is placed. See Accusative, n. Note: The objective case is frequently used without a governing word, esp. in designations of time or space, where a preposition, as at, in, on, etc., may be supplied. My troublous dream [on] this night make me sad. Shak. To write of victories [in or for] next year. Hudibras. Objective line (Perspective), a line drawn on the geometrical plane which is represented or sought to be represented. -- Objective plane (Perspective), any plane in the horizontal plane that is represented. -- Objective point, the point or result to which the operations of an army are directed. By extension, the point or purpose to which anything, as a journey or an argument, is directed. Syn. -- Objective, Subjective. Objective is applied to things exterior to the mind, and objects of its attention; subjective, to the operations of the mind itself. Hence, an objective motive is some outward thing awakening desire; a subjective motive is some internal feeling or propensity. Objective views are those governed by outward things; subjective views are produced or modified by internal feeling. Sir Walter Scott's poetry is chiefly objective; that of Wordsworth is eminently subjective. In the philosophy of mind, subjective denotes what is to be referred to the thinking subject, the ego; objective what belongs to the object of thought, the non-ego. Sir. W. Hamilton  1. (Gram.)  The objective case. 2. An object glass. See under Object, n. 3. Same as Objective point, under Objective, a."
objectively,"In the manner or state of an object; as, a determinate idea objectively in the mind."
objectiveness,"Objectivity. Is there such a motion or objectiveness of external bodies, which produceth light Sir M. Hale"
objectivity,"The state, quality, or relation of being objective; character of the object or of the objective. The calm, the cheerfulness, the disinterested objectivity have disappeared [in the life of the Greeks]. M. Arnold."
objectize,"To make an object of; to regard as an object; to place in the position of an object. In the latter, as objectized by the former, arise the emotions and affections. Coleridge."
objectless,Having no object; purposeless.
objector,One who objects; one who offers objections to a proposition or measure.
objibways,See Chippeways.
objicient,One who makes objection; an objector. [R.] Cardinal Wiseman.
objuration,A binding by oath. [R.] Abp. Bramhall.
objurgate,To chide; to reprove.
objurgation,The act of objurgating; reproof. While the good lady was bestowing this objurgation on Mr.Ben Allen. Dickens. With a strong objurgation of the elbow in his ribs. Landor.
objurgatory,Designed to objurgate or chide; containing or expressing reproof; culpatory. Bancroft. The objurgatory question of the Pharisees. Paley.
oblanceolate,"Lanceolate in the reversed order, that is, narrowing toward the point of attachment more than toward the apex."
oblate,"1. (Geom.)  Flattened or depressed at the poles; as, the earth is an oblate spheroid. 2. Offered up; devoted; consecrated; dedicated; -- used chiefly or only in the titles of Roman Catholic orders. See Oblate, n. Oblate ellipsoid or spheroid (Geom.), a solid generated by the revolution of an ellipse about its minor axis; an oblatum. See Ellipsoid of revolution, under Ellipsoid.  (a) One of an association of priests or religious women who have offered themselves to the service of the church. There are three such associations of priests, and one of women, called oblates. (b) One of the Oblati."
oblateness,The quality or state of being oblate.
oblati,"(a) Children dedicated in their early years to the monastic state. (b) A class of persons, especially in the Middle Ages, who offered themselves and their property to a monastery. Addis & Arnold."
oblation,"1. The act of offering, or of making an offering. Locke. 2. Anything offered or presented in worship or sacred service; an offering; a sacrifice. A peculiar ... oblation given to God. Jer. Taylor. A pin was the usual oblation. Sir. W. Scott. 3. A gift or contribution made to a church, as for the expenses of the eucharist, or for the support of the clergy and the poor."
oblationer,One who makes an offering as an act worship or reverence. Dr. H. More.
oblatrate,"To bark or snarl, as a dog. [Obs.]"
oblatration,The act of oblatrating; a barking or snarling. Bp. Hall.
oblatum,An oblate spheroid; a figure described by the revolution of an ellipse about its minor axis. Cf. Oblongum.
oblectate,To delight; to please greatly. [Obs.]
oblectation,The act of pleasing highly; the state of being greatly pleased; delight. [R.] Feltham.
obligable,"Acknowledging, or complying with, obligation; trustworthy. [R.] The main difference between people seems to be, that one man can come under obligations on which you can rely, -- is obligable; and another is not. Emerson."
obligate,"1. To bring or place under obligation, moral or legal; to hold by a constraining motive. ""Obligated by a sense of duty."" Proudfit. That's your true plan -- to obligate The present ministers of state. Churchill. 2. To bind or firmly hold to an act; to compel; to constrain; to bind to any act of duty or courtesy by a formal pledge. That they may not incline or be obligated to any vile or lowly occupations. Landor."
obligation,"1. The act of obligating. 2. That which obligates or constrains; the binding power of a promise, contract, oath, or vow, or of law; that which constitutes legal or moral duty. A tender conscience is a stronger obligation than a proson. Fuller. 3. Any act by which a person becomes bound to do something to or for anouther, or to forbear something; external duties imposed by law, promise, or contract, by the relations of society, or by courtesy, kindness, etc. Every man has obligations which belong to his station. Duties extend beyond obligation, and direct the affections, desires, and intentions, as well as the actions. Whewell. 4. The state of being obligated or bound; the state of being indebted for an act of favor or kindness; as, to place others under obligations to one. 5. (Law)  A bond with a condition annexed, and a penalty for nonfulfillment. In a larger sense, it is an acknowledgment of a duty to pay a certain sum or do a certain things. Days of obligation. See under Day."
obligato,See Obbligato.
obligatorily,In an obligatory manner; by reason of obligation. Foxe.
obligatoriness,The quality or state of being obligatory.
obligatory,"Binding in law or conscience; imposing duty or obligation; requiring performance or forbearance of some act; -- often followed by on or upon; as, obedience is obligatory on a soldier. As long as the law is obligatory, so long our obedience is due. Jer. Taylor."
oblige,"1. To attach, as by a bond. [Obs.] He had obliged all the senators and magistrates firmly to himself. Bacon. 2. To constrain by physical, moral, or legal force; to put under obligation to do or forbear something. The obliging power of the law is neither founded in, nor to be measured by, the rewards and punishments annexed to it. South. Religion obliges men to the practice of those virtues which conduce to the preservation of our health. Tillotson. 3. To bind by some favor rendered; to place under a debt; hence, to do a favor to; to please; to gratify; to accommodate. Thus man, by his own strength, to heaven would soar, And would not be obliged to God for more. Dryden. The gates before it are brass, and the whole much obliged to Pope Urban VIII. Evelyn. I shall be more obliged to you than I can express. Mrs. E. Montagu."
obligee,"The person to whom another is bound, or the person to whom a bond is given. Blackstone."
obligement,"Obligation. [R.] I will not resist, therefore, whatever it is, either of divine or human obligement, that you lay upon me. Milton."
obliger,"One who, or that which, obliges. Sir H. Wotton."
obliging,"Putting under obligation; disposed to oblige or do favors; hence, helpful; civil; kind. Mons.Strozzi has many curiosities, and is very obliging to a stranger who desires the sight of them. Addison. Syn. -- Civil; complaisant; courteous; kind, -- Obliging, Kind, Complaisant. One is kind who desires to see others happy; one is complaisant who endeavors to make them so in social intercourse by attentions calculated to please; one who is obliging performs some actual service, or has the disposition to do so. -- O*bli""ging*ly. adv. -- O*bli""ging*ness, n."
obligor,"The person who binds himself, or gives his bond to another. Blackstone."
obliquation,"1. The act of becoming oblique; a turning to one side; obliquity; as, the obliquation of the eyes. [R.] Sir T. Browne. 2. Deviation from moral rectitude. [R.]"
