ulcer,"1. (Med.)  A solution of continuity in any of the soft parts of the body, discharging purulent matter, found on a surface, especially one of the natural surfaces of the body, and originating generally in a constitutional disorder; a sore discharging pus. It is distinguished from an abscess, which has its beginning, at least, in the depth of the tissues. 2. Fig.: Anything that festers and corrupts like an open sore; a vice in character. Cold ulcer (Med.), an ulcer on a finger or toe, due to deficient circulation and nutrition. In such cases the extremities are cold.  To ulcerate. [R.] Fuller."
ulcerable,Capable of ulcerating.
ulcerate,"To be formed into an ulcer; to become ulcerous.  To affect with, or as with, an ulcer or ulcers. Harvey."
ulcerated,"Affected with, or as with, an ulcer or ulcers; as, an ulcerated sore throat."
ulceration,"The process of forming an ulcer, or of becoming ulcerous; the state of being ulcerated; also, an ulcer."
ulcerative,"Of or pertaining to ulcers; as, an ulcerative process."
ulcered,Ulcerous; ulcerated.
ulcerous,"1. Having the nature or character of an ulcer; discharging purulent or other matter. R. Browning. 2. Affected with an ulcer or ulcers; ulcerated. It will but skin and film the ulcerous place. Shak. -- Ul""cer*ous*ly, adv. -- Ul""cer*ous*ness, n."
ulcuscle,A little ulcer. [R.]
ulcuscule,A little ulcer. [R.]
ule,A Mexican and Central American tree (Castilloa elastica and C. Markhamiana) related to the breadfruit tree. Its milky juice contains caoutchouc. Called also ule tree.
ulema,"A college or corporation in Turkey composed of the hierarchy, namely, the imams, or ministers of religion, the muftis, or doctors of law, and the cadis, or administrators of justice."
ulexite,A mineral occurring in white rounded crystalline masses. It is a hydrous borate of lime and soda.
uliginose,"Muddy; oozy; slimy; also, growing in muddy places. [R.] Woodward."
uliginous,"Muddy; oozy; slimy; also, growing in muddy places. [R.] Woodward."
ullage,"The amount which a vessel, as a cask, of liquor lacks of being full; wantage; deficiency."
ullet,A European owl (Syrnium aluco) of a tawny color; -- called also uluia.
ullmannite,"A brittle mineral of a steel-gray color and metallic luster, containing antimony, arsenic, sulphur, and nickel."
ulluco,See Melluc.
ulmaceous,"Of or pertaining to a suborder of urticaceous plants, of which the elm is the type."
ulmate,A salt of ulmic acid.
ulmic,Pertaining to ulmin; designating an acid obtained from ulmin.
ulmin,A brown amorphous substance found in decaying vegetation. Cf. Humin. [Formerly written ulmine.]
ulmus,A genus of trees including the elm.
ulna,"1. (Anat.)  The postaxial bone of the forearm, or branchium, corresponding to the fibula of the hind limb. See Radius. 2. (O. Eng. Law)  An ell; also, a yard. Burrill."
ulnage,Measurement by the ell; alnage.
ulnar,"Of or pertaining to the ulna, or the elbow; as, the ulnar nerve."
ulnare,"One of the bones or cartilages of the carpus, which articulates with the ulna and corresponds to the cuneiform in man."
ulodendron,A genus of fossil trees.
uloid,Resembling a scar; scarlike.
ulonata,A division of insects nearly equivalent to the true Orthoptera.
ulotrichan,Of or pertaining to the Ulotrichi. -- n.  One of the Ulotrichi.
ulotrichi,The division of mankind which embraces the races having woolly or crispy hair. Cf. Leiotrichi.
ulotrichous,Having woolly or crispy hair; -- opposed to leiotrichous.
ulster,"A long, loose overcoat, worn by men and women, originally made of frieze from Ulster, Ireland."
ulterior,"1. Situated beyond, or on the farther side; thither; -- correlative with hither. 2. Further; remoter; more distant; succeeding; as, ulterior demands or propositions; ulterior views; what ulterior measures will be adopted is uncertain. Ulterior object or aim, an object or aim beyond that which is avowed.  Ulterior side or part. [R.] Coleridge."
ulteriorly,More distantly or remotely.
ultima,"Most remote; furthest; final; last. Ultima ratio Etym: [L.], the last reason or argument; the last resort. -- Ultima Thule. [L.] See Thule.  The last syllable of a word."
ultimate,"1. Farthest; most remote in space or time; extreme; last; final. My harbor, and my ultimate repose. Milton. Many actions apt to procure fame are not conductive to this our ultimate happiness. Addison. 2. Last in a train of progression or consequences; tended toward by all that precedes; arrived at, as the last result; final. Those ultimate truths and those universal laws of thought which we can not rationally contradict. Coleridge. 3. Incapable of further analysis; incapable of further division or separation; constituent; elemental; as, an ultimate constituent of matter. Ultimate analysis (Chem.), organic analysis. See under Organic. -- Ultimate belief. See under Belief. -- Ultimate ratio (Math.), the limiting value of a ratio, or that toward which a series tends, and which it does not pass. Syn. -- Final; conclusive. See Final.  1. To come or bring to an end; to eventuate; to end. [R.] 2. To come or bring into use or practice. [R.]"
ultimately,"As a final consequence; at last; in the end; as, afflictions often tend to correct immoral habits, and ultimately prove blessings."
ultimation,"State of being ultimate; that which is ultimate, or final; ultimatum. [R.] Swift."
ultimatum,"A final proposition, concession, or condition; especially, the final propositions, conditions, or terms, offered by either of the parties in a diplomatic negotiation; the most favorable terms a negotiator can offer, the rejection of which usually puts an end to the hesitation."
ultime,Ultimate; final. [Obs.] Bacon.
ultimity,The last stage or consequence; finality. [Obs.] Bacon.
ultimo,"In the month immediately preceding the present; as, on the 1st ultimo; -- usually abbreviated to ult. Cf. Proximo."
ultion,The act of taking vengeance; revenge. [Obs.] Sir T. Browne.
ultra,"Going beyond others, or beyond due limit; extreme; fanatical; uncompromising; as, an ultra reformer; ultra measures.  One who advocates extreme measures; an ultraist; an extremist; a radical. Brougham."
ultra vires,Beyond power; transcending authority; -- a phrase used frequently in relation to acts or enactments by corporations in excess of their chartered or statutory rights.
ultra-,"A prefix from the Latin ultra beyond (see Ulterior), having in composition the signification beyond, on the other side, chiefly when joined with words expressing relations of place; as, ultramarine, ultramontane, ultramundane, ultratropical, etc. In other relations it has the sense of excessively, exceedingly, beyond what is common, natural, right, or proper; as, ultraconservative; ultrademocratic, ultradespotic, ultraliberal, ultraradical, etc."
ultragaseous,"Having the properties exhibited by gases under very low pressures (one millionth of an atmosphere or less). Matter under this condition, which has been termed the fourth state of matter, is sometimes called radiant matter."
ultrage,Outrage. [Obs.]
ultraism,"The principles of those who advocate extreme measures, as radical reform, and the like. Dr. H. More."
ultraist,One who pushes a principle or measure to extremes; an extremist; a radical; an ultra.
ultramarine,"Situated or being beyond the sea. Burke.  A blue pigment formerly obtained by powdering lapis lazuli, but now produced in large quantities by fusing together silica, alumina, soda, and sulphur, thus forming a glass, colored blue by the sodium polysulphides made in the fusion. Also used adjectively. Green ultramarine, a green pigment obtained as a first product in the manufacture of ultramarine, into which it is changed by subsequent treatment. -- Ultramarine ash or ashes (Paint.), a pigment which is the residuum of lapis lazuli after the ultramarine has been extracted. It was used by the old masters as a middle or neutral tint for flesh, skies, and draperies, being of a purer and tenderer gray that produced by the mixture of more positive colors. Fairholt."
ultramontane,"Being beyond the mountains; specifically, being beyond the Alps, in respect to the one who speaks. Note: This term was first applied, somewhat contemptuously, by the Italians, to the nations north of the Alps, especially the Germans and French, their painters, jurists, etc. At a later period, the French and Germans applied it to the Italians. It is now more particularly used in respect to religious matters; and ultramontane doctrines, when spoken of north of the Alps, denote the extreme views of the pope's rights and supremacy maintained by Bellarmin and other Italian writers.  1. One who resides beyond the mountains, especially beyond the Alps; a foreigner. 2. One who maintains extreme views favoring the pope's supremacy. See Ultramontanism."
ultramontanism,"The principles of those within the Roman Catholic Church who maintain extreme views favoring the pope's supremacy; -- so used by those living north of the Alps in reference to the Italians; -- rarely used in an opposite sense, as referring to the views of those living north of the Alps and opposed to the papal claims. Cf. Gallicanism."
ultramontanist,One who upholds ultramontanism.
ultramundane,"Being beyond the world, or beyond the limits of our system. Boyle."
ultrared,"Situated beyond or below the red rays; as, the ultrated rays of the spectrum, which are less refrangible than the red."
ultratropical,"Situated beyond, or outside of, the tropics; extratropical; also, having an excessively tropical temperature; warmer than the tropics."
ultraviolet,Lying outside the visible spectrum at its violet end; -- said of rays more refrangible than the extreme violet rays of the spectrum.
ultrazodiacal,"Outside the zodiac; being in that part of the heavens that is more than eight degrees from the ecliptic; as, ultrazodiacal planets, that is, those planets which in part of their orbits go beyond the zodiac."
ultroneous,"Spontaneous; voluntary. [Obs.] Jer. Taylor. -- Ul*tro""ne*ous*ly, adv. [Obs.] -- Ul*tro""ne*ous*ness, n. [Obs.]"
ulula,"A genus of owls including the great gray owl (Ulula cinerea) of Arctic America, and other similar species. See Illust. of Owl."
ululant,Howling; wailing.
ululate,"To howl, as a dog or a wolf; to wail; as, ululating jackals. Sir T. Herbert."
ululation,"A howling, as of a dog or wolf; a wailing. He may fright others with his ululation. Wither."
ulva,A genus of thin papery bright green seaweeds including the kinds called sea lettuce.
umbe,About. [Obs.] Layamon.
umbecast,To cast about; to consider; to ponder. [Obs.] Sir T. Malory.
umbel,"A kind of flower cluster in which the flower stalks radiate from a common point, as in the carrot and milkweed. It is simple or compound; in the latter case, each peduncle bears another little umbel, called umbellet, or umbellule."
umbellar,Of or pertaining to an umbel; having the form of an umbel.
umbellate,"Bearing umbels; pertaining to an umbel; umbel-like; as, umbellate plants or flowers."
umbellated,"Bearing umbels; pertaining to an umbel; umbel-like; as, umbellate plants or flowers."
umbellet,A small or partial umbel; an umbellule.
umbellic,"Pertaining to, or obtained from, certain umbelliferous plants; as, umbellic acid. Umbellic acid. (Chem.) (a) Anisic acid. [Obs.] (b) A yellow powder obtained from umbelliferone."
umbellifer,A plant producing an umbel or umbels.
umbelliferone,"A tasteless white crystalline substance, C9H6O3, found in the bark of a certain plant (Daphne Mezereum), and also obtained by the distillation of certain gums from the UmbelliferÃ¦, as galbanum, asafetida, etc. It is analogous to coumarin. Called also hydroxy- coumarin."
umbelliferous,"(a) Producing umbels. (b) Of or pertaining to a natural order (UmbelliferÃ¦) of plants, of which the parsley, carrot, parsnip, and fennel are well-known examples."
umbellularia,"A genus of deep-sea alcyonaria consisting of a cluster of large flowerlike polyps situated at the summit of a long, slender stem which stands upright in the mud, supported by a bulbous base."
umbellule,An umbellet.
umber,"1. (Paint.)  A brown or reddish pigment used in both oil and water colors, obtained from certain natural clays variously colored by the oxides of iron and manganese. It is commonly heated or burned before being used, and is then called burnt umber; when not heated, it is called raw umber. See Burnt umber, below. 2. An umbrere. [Obs.] 3. Etym: [F. ombre, umbre, L. umbra.] (ZoÃ¶l.)  See Grayling, 1. 4. Etym: [Cf. NL. scopus umbretta, F. ombrette; probably fr. L. umbra shade, in allusion to its dark brown color. See Umber a pigment.] (ZoÃ¶l.)  An African wading bird (Scopus umbretta) allied to the storks and herons. It is dull dusky brown, and has a large occipital crest. Called also umbrette, umbre, and umber bird. Burnt umber (Paint.), a pigment made by burning raw umber, which is changed by this process from an olive brown to a bright reddish brown. -- Cologne, or German, umber, a brown pigment obtained from lignite. See Cologne earth.  Of or pertaining to umber; resembling umber; olive-brown; dark brown; dark; dusky. Their harps are of the umber shade That hides the blush of waking day. J. R. Drake.  To color with umber; to shade or darken; as, to umber over one's face. B. Jonson."
umbery,"Of or pertaining to umber; like umber; as, umbery gold."
umbilic,"1. The navel; the center. [Obs.] ""The umbilic of the world."" Sir T. Herbert. 2. (Geom.)  An umbilicus. See Umbilicus, 5 (b).  See Umbilical, 1."
umbilical,"1. (Anat.)  Of or pertaining to an umbilicus, or umbilical cord; umbilic. 2. Pertaining to the center; central. [R.] De Foe. Umbilical cord. (a) (Anat.) The cord which connects the fetus with the placenta, and contains the arteries and the vein through which blood circulates between the fetus and the placenta; the navel-string. (b) (Bot.) The little stem by which the seeds are attached to the placenta; -- called also funicular cord. -- Umbilical hernia (Med.), hernia of the bowels at the umbilicus. -- Umbilical point (Geom.), an umbilicus. See Umbilicus, 5. -- Umbilical region (Anat.), the middle region of the abdomen, bounded above by the epigastric region, below by the hypogastric region, and on the sides by the lumbar regions. -- Umbilical vesicle (Anat.), a saccular appendage of the developing embryo, containing the nutritive and unsegmented part of the ovum; the yolk sac. See Illust. in Appendix."
umbilicate,"(a) Depressed in the middle, like a navel, as a flower, fruit, or leaf; navel-shaped; having an umbilicus; as, an umbilicated smallpox vesicle. (b) (Bot.) Supported by a stalk at the central point."
umbilicated,"(a) Depressed in the middle, like a navel, as a flower, fruit, or leaf; navel-shaped; having an umbilicus; as, an umbilicated smallpox vesicle. (b) (Bot.) Supported by a stalk at the central point."
umbilication,"A slight, navel-like depression, or dimpling, of the center of a rounded body; as, the umbilication of a smallpox vesicle; also, the condition of being umbilicated."
umbilicus,"1. (Anat.)  The depression, or mark, in the median line of the abdomen, which indicates the point where the umbilical cord separated from the fetus; the navel. 2. (Gr. & Rom. Antiq.)  An ornamented or painted ball or boss fastened at each end of the stick on which manuscripts were rolled. Dr. W. Smith. 3. (Bot.)  The hilum. 4. (ZoÃ¶l.) (a) A depression or opening in the center of the base of many spiral shells. (b) Either one of the two apertures in the calamus of a feather. 5. (Geom.) (a) One of foci of an ellipse, or other curve. [Obs.] (b) A point of a surface at which the curvatures of the normal sections are all equal to each other. A sphere may be osculatory to the surface in every direction at an umbilicus. Called also umbilic."
umble pie,"A pie made of umbles. See To eat humble pie, under Humble."
umbles,"The entrails and coarser parts of a deer; hence, sometimes, entrails, in general. [Written also humbles.] Johnson."
umbo,"1. The boss of a shield, at or near the middle, and usually projecting, sometimes in a sharp spike. 2. A boss, or rounded elevation, or a corresponding depression, in a palate, disk, or membrane; as, the umbo in the integument of the larvÃ¦ of echinoderms or in the tympanic membrane of the ear. 3. (ZoÃ¶l.)  One of the lateral prominence just above the hinge of a bivalve shell."
umbonate,"Having a conical or rounded projection or protuberance, like a boss."
umbonated,"Having a conical or rounded projection or protuberance, like a boss."
umbra,"1. (Astron.) (a) The conical shadow projected from a planet or satellite, on the side opposite to the sun, within which a spectator could see no portion of the sun's disk; -- used in contradistinction from penumbra. See Penumbra. (b) The central dark portion, or nucleus, of a sun spot. (c) The fainter part of a sun spot; -- now more commonly called penumbra. 2. (ZoÃ¶l.)  Any one of several species of sciÃ¦noid food fishes of the genus Umbrina, especially the Mediterranean species (U. cirrhosa), which is highly esteemed as a market fish; -- called also ombre, and umbrine. Umbra tree (Bot.), a tree (Phytolacca diocia) of the same genus as pokeweed. It is native of South America, but is now grown in southern Europe. It has large dark leaves, and a somber aspect. The juice of its berries is used for coloring wine. J. Smith (Dict. Econ. Plants)."
umbraculiferous,Bearing something like an open umbrella.
umbraculiform,"Having the form of anything that serves to shade, as a tree top, an umbrella, and the like; specifically (Bot.), having the form of an umbrella; umbrella-shaped."
umbrage,"1. Shade; shadow; obscurity; hence, that which affords a shade, as a screen of trees or foliage. Where highest woods, impenetrable To star or sunlight, spread their umbrage broad. Milton. 2. Shadowy resemblance; shadow. [Obs.] The opinion carries no show of truth nor umbrage of reason on its side. Woodward. 3. The feeling of being overshadowed; jealousy of another, as standing in one's light or way; hence, suspicion of injury or wrong; offense; resentment. Which gave umbrage to wiser than myself. Evelyn. Persons who feel most umbrage from the overshadowing aristocracy. Sir W. Scott."
umbrageous,"1. Forming or affording a shade; shady; shaded; as, umbrageous trees or foliage. Umbrageous grots and caves Of cool recess, o'er which the mantling vine Lays forth her purple grape. Milton. 2. Not easily perceived, as if from being darkened or shaded; obscure. [Obs.] Sir H. Wotton. 3. Feeling jealousy or umbrage; taking, or disposed to take, umbrage; suspicious. [Obs.] Bp. Warburton. -- Um*bra""geous*ly, adv. -- Um*bra""geous*ness, n."
umbrate,To shade; to shadow; to foreshadow. [Obs.]
umbratic,Of or pertaining to the shade or darkness; shadowy; unreal; secluded; retired. [R.] B. Jonson.
umbratical,Of or pertaining to the shade or darkness; shadowy; unreal; secluded; retired. [R.] B. Jonson.
umbratile,Umbratic. [R.] B. Jonson.
umbratious,Suspicious; captious; disposed to take umbrage. [Obs. & R.] Sir H. Wotton.
umbre,See Umber.
umbrel,An umbrella. [Obs. or Colloq.] Each of them besides bore their umbrels. Shelton.
umbrella,"1. A shade, screen, or guard, carried in the hand for sheltering the person from the rays of the sun, or from rain or snow. It is formed of silk, cotton, or other fabric, extended on strips of whalebone, steel, or other elastic material, inserted, or fastened to, a rod or stick by means of pivots or hinges, in such a way as to allow of being opened and closed with ease. See Parasol. Underneath the umbrella's oily shed. Gay. 2. (ZoÃ¶l.)  The umbrellalike disk, or swimming bell, of a jellyfish. 3. (ZoÃ¶l.)  Any marine tectibranchiate gastropod of the genus Umbrella, having an umbrella-shaped shell; -- called also umbrella shell. Umbrella ant (ZoÃ¶l.), the sauba ant; -- so called because it carries bits of leaves over its back when foraging. Called also parasol ant. -- Umbrella bird (ZoÃ¶l.), a South American bird (Cephalopterus ornatus) of the family CotingidÃ¦. It is black, with a large handsome crest consisting of a mass of soft, glossy blue feathers curved outward at the tips. It also has a cervical plume consisting of a long, cylindrical dermal process covered with soft hairy feathers. Called also dragoon bird. -- Umbrella leaf (Bot.), an American perennial herb (Dyphylleia cymosa), having very large peltate and lobed radical leaves. -- Umbrella shell. (ZoÃ¶l.) See Umbrella, 3. -- Umbrella tree (Bot.), a kind of magnolia (M. Umbrella) with the large leaves arranged in umbrellalike clusters at the ends of the branches. It is a native of Pennsylvania, Virginia, and Kentucky. Other plants in various countries are called by this name, especially a kind of screw pine (Pandanus odoratissimus)."
umbrere,"In ancient armor, a visor, or projection like the peak of a cap, to which a face guard was sometimes attached. This was sometimes fixed, and sometimes moved freely upon the helmet and could be raised like the beaver. Called also umber, and umbril. [Obs.] But only vented up her umbriere. Spenser."
umbrette,"See Umber, 4."
umbriere,"In ancient armor, a visor, or projection like the peak of a cap, to which a face guard was sometimes attached. This was sometimes fixed, and sometimes moved freely upon the helmet and could be raised like the beaver. Called also umber, and umbril. [Obs.] But only vented up her umbriere. Spenser."
umbriferous,"Casting or making a shade; umbrageous. -- Um*brif""er*ous*ly, adv."
umbril,A umbrere. [Obs.]
umbrine,"See Umbra, 2."
umbrose,Shady; umbrageous. [Obs.]
umbrosity,The quality or state of being umbrose; shadiness. [Obs.] Sir T. Browne.
umhofo,"An African two-horned rhinoceros (Atelodus, or Rhinoceros, simus); -- called also chukuru, and white rhinoceros."
umlaut,"The euphonic modification of a root vowel sound by the influence of a, u, or especially i, in the syllable which formerly followed. Note: It is peculiar to the Teutonic languages, and was common in Anglo-Saxon. In German the umlauted vowels resulting from a, o, u, followed by old i, are written Ã¤, Ã¶, Ã¼, or ae, oe, ue; as, mÃ¤nner or maenner, men, from mann, man. Examples of forms resulting from umlaut in English are geese pl. of goose, men pl. of man, etc."
umlauted,"Having the umlaut; as, umlauted vowels. There is so natural connection between umlauted forms and plurality. Earle."
umpirage,"1. The office of an umpire; the power, right, or authority of an umpire to decide. The mind umpirage of the federal Union. E. Everett. 2. The act of umpiring; arbitrament. Bp. Hall."
umpire,"1. A person to whose sole decision a controversy or question between parties is referred; especially, one chosen to see that the rules of a game, as cricket, baseball, or the like, are strictly observed. A man, in questions of this kind, is able to be a skillful umpire between himself and others. Barrow. 2. (Law)  A third person, who is to decide a controversy or question submitted to arbitrators in case of their disagreement. Blackstone. Syn. -- Judge; arbitrator; referee. See Judge.  1. To decide as umpire; to arbitrate; to settle, as a dispute. Judges appointed to umpire the matter in contest between them, and to decide where the right lies. South. 2. To perform the duties of umpire in or for; as, to umpire a game. [Colloq.]  To act as umpire or arbitrator."
umpireship,Umpirage; arbitrament. Jewel.
umpress,Female umpire. [R.] Marston.
umpteen,"An indefinite number, usu. more than ten and less than one hundred; a lot. Often used hyperbolically, and usually expressing the notion of more than the usual number or more than I would like; -- ""I've told you umpteen times not to do that."" umpteenth. Ordinal of umpteen, with corresponding signification."
umquhile,Some time ago; formerly. [Scot.] Sir W. Scott. -- a.  Former. [Scot.]
un-,"An inseparable verbal prefix or particle. It is prefixed: (a) To verbs to express the contrary, and not the simple negative, of the action of the verb to which it is prefixed; as in uncoil, undo, unfold. (b) To nouns to form verbs expressing privation of the thing, quality, or state expressed by the noun, or separation from it; as in unchild, unsex. Sometimes particles and participial adjectives formed with this prefix coincide in form with compounds of the negative prefix un- (see 2d Un-); as in undone (from undo), meaning unfastened, ruined; and undone (from 2d un- and done) meaning not done, not finished. Un- is sometimes used with an intensive force merely; as in unloose. Note: Compounds of this prefix are given in full in their proper order in the Vocabulary.  An inseparable prefix, or particle, signifying not; in-; non-. In- is prefixed mostly to words of Latin origin, or else to words formed by Latin suffixes; un- is of much wider application, and is attached at will to almost any adjective, or participle used adjectively, or adverb, from which it may be desired to form a corresponding negative adjective or adverb, and is also, but less freely, prefixed to nouns. Un- sometimes has merely an intensive force; as in unmerciless, unremorseless. I.  Un- is prefixed to adjectives, or to words used adjectively. Specifically: -- (a) To adjectives, to denote the absence of the quality designated by the adjective; as, ------ and the like. (b) To past particles, or to adjectives formed after the analogy of past particles, to indicate the absence of the condition or state expressed by them; as, -Unabolishable Unabsolvable Unabsurd Unabundant Unaccordant Unadoptable Unadventurous Unaffable Unaffectionate Unafraid Unalliable Unallowablew Unalterable Unambiguous Unambitious Unamendable Un-American Unamusive Unangular Unanxious Unapocryphal Unapostolic Unapparent Unappeasable Unapplausive Unappreciable Unapprehensible Unapprehensive Unapproachable Unartificial Unartistic Unassailable Unattainable Unattentive Unauthentic Unavailable Unbailable Unbearable Unbeautiful Unbeliefful Unbelievable Unbeneficial Unbenevolent Unblamable Unblemishable Unblissful Unboastful Unbold Unbookish Unbounteous Unbribable Unbrotherly Unburdensome Unbusinesslike Unbusy Uncandid Uncanonical Uncaptious Uncareful Uncelestial Unceremonious Unchallengeable Unchangeable Unchary Unchastisable Uncheerful ---- and the like. (c) To present particles which come from intransitive verbs, or are themselves employed as adjectives, to mark the absence of the activity, disposition, or condition implied by the participle; as, -- --- and the like. Note: The above classes of words are unlimited in extent, and such compounds may be formed by any writer or speaker at will from almost all the adjectives or participles in the language, excepting those which have a recognized and usual negative correspondent with the prefix -in. No attempt will be made, therefore, to define them all in this Dictionary; many will be omitted from its Vocabulary which are negations of the simple word, and are readily explained by prefixing a not to the latter. Derivatives of these words in -ly and -ness will also, for the most part, be omitted for the same or similar reasons. There will be inserted as separate articles with definitions, the following: --1. Those which have acquired an opposed or contrary, instead of a merely negative, meaning; as, unfriendly, ungraceful, unpalatable, unquiet, and the like; or else an intensive sense more than a prefixed not would express; as, unending, unparalleled, undisciplined, undoubted, unsafe, and the like. 2. Those which have the value of independent words, inasmuch as the simple words are either not used at all, or are rarely, or at least much less frequently, used; as, unavoidable, unconscionable, undeniable, unspeakable, unprecedented, unruly, and the like; or inasmuch as they are used in a different sense from the usual meaning of the primitive, or especially in one of the significations of the latter; as, unaccountable, unalloyed, unbelieving, unpretending, unreserved, and the like; or inasmuch as they are so frequently and familiarly used that they are hardly felt to be of negative origin; as, uncertain, uneven, and the like. 3. Those which are anomalous, provincial, or, for some other reason, not desirable to be used, and are so indicated; as, unpure for impure, unsatisfaction for dissatisfaction, unexpressible for inexpressible, and the like. II.  Un- is prefixed to nouns to express the absence of, or the contrary of, that which the noun signifies; as, unbelief, unfaith, unhealth, unrest, untruth, and the like. Note: Compounds of this last class are given in full in their proper order in the Vocabulary."
un-mosaic,Not according to Moses; unlike Moses or his works. By this reckoning Moses should be most un Mosaic. Milton.
