echacorvearía,1. intr. coloq. Hacer o tener el ejercicio de echacuervos.
echacorvearíais,1. intr. coloq. Hacer o tener el ejercicio de echacuervos.
echacorvearíamos,1. intr. coloq. Hacer o tener el ejercicio de echacuervos.
echacorvearían,1. intr. coloq. Hacer o tener el ejercicio de echacuervos.
echacorvearías,1. intr. coloq. Hacer o tener el ejercicio de echacuervos.
echacorveas,1. intr. coloq. Hacer o tener el ejercicio de echacuervos.
echacorvease,1. intr. coloq. Hacer o tener el ejercicio de echacuervos.
echacorveaseis,1. intr. coloq. Hacer o tener el ejercicio de echacuervos.
echacorveasen,1. intr. coloq. Hacer o tener el ejercicio de echacuervos.
echacorveases,1. intr. coloq. Hacer o tener el ejercicio de echacuervos.
echacorveaste,1. intr. coloq. Hacer o tener el ejercicio de echacuervos.
echacorveasteis,1. intr. coloq. Hacer o tener el ejercicio de echacuervos.
echacorvee,1. intr. coloq. Hacer o tener el ejercicio de echacuervos.
echacorveemos,1. intr. coloq. Hacer o tener el ejercicio de echacuervos.
echacorveen,1. intr. coloq. Hacer o tener el ejercicio de echacuervos.
echacorvees,1. intr. coloq. Hacer o tener el ejercicio de echacuervos.
echacorveo,1. intr. coloq. Hacer o tener el ejercicio de echacuervos.
echacorvería,1. f. coloq. Acción propia de echacuervos.
echacorveá,1. intr. coloq. Hacer o tener el ejercicio de echacuervos.
echacorveábamos,1. intr. coloq. Hacer o tener el ejercicio de echacuervos.
echacorveáis,1. intr. coloq. Hacer o tener el ejercicio de echacuervos.
echacorveáramos,1. intr. coloq. Hacer o tener el ejercicio de echacuervos.
echacorveáremos,1. intr. coloq. Hacer o tener el ejercicio de echacuervos.
echacorveás,1. intr. coloq. Hacer o tener el ejercicio de echacuervos.
echacorveásemos,1. intr. coloq. Hacer o tener el ejercicio de echacuervos.
echacorveé,1. intr. coloq. Hacer o tener el ejercicio de echacuervos.
echacorveéis,1. intr. coloq. Hacer o tener el ejercicio de echacuervos.
echacorveó,1. intr. coloq. Hacer o tener el ejercicio de echacuervos.
echacuervos,1. m. coloq. alcahuete (‖ hombre que concierta una relación amorosa).
echad,"1. tr. Hacer que algo vaya a parar a alguna parte, dándole impulso. Echar mercancías al mar. Echar basura a la calle."
echada,1. f. Acción y efecto de echar o echarse. La echada de una piedra.
echadera,1. f. coloq. Sor. Pala de madera para enhornar el pan.
echadero,1. m. Sitio a propósito para echarse a dormir o descansar.
echadilla,1. adj. coloq. expósito. U. t. c. s.
echadillo,1. adj. coloq. expósito. U. t. c. s.
echadiza,"1. adj. Enviado con arte y disimulo para rastrear y averiguar algo, o para difundir algún rumor. U. t. c. s."
echadizo,"1. adj. Enviado con arte y disimulo para rastrear y averiguar algo, o para difundir algún rumor. U. t. c. s."
echado,"1. adj. C. Rica, Hond. y Nic. Indolente, perezoso."
echador,1. adj. Que echa o arroja. U. t. c. s.
echadora,1. adj. Que echa o arroja. U. t. c. s.
echadura,1. f. Acción de echarse las gallinas cluecas para empollar los huevos.
echamiento,1. m. Acción y efecto de echar o arrojar.
echamos,"1. tr. Hacer que algo vaya a parar a alguna parte, dándole impulso. Echar mercancías al mar. Echar basura a la calle."
echan,"1. tr. Hacer que algo vaya a parar a alguna parte, dándole impulso. Echar mercancías al mar. Echar basura a la calle."
echando,"1. tr. Hacer que algo vaya a parar a alguna parte, dándole impulso. Echar mercancías al mar. Echar basura a la calle."
echapellas,"1. m. En los lavaderos de lanas, encargado de tomarlas del tablero para echarlas en el pozo."
echaperros,1. m. perrero (‖ hombre que echaba a los perros de las catedrales).
echar,"1. tr. Hacer que algo vaya a parar a alguna parte, dándole impulso. Echar mercancías al mar. Echar basura a la calle."
echara,"1. tr. Hacer que algo vaya a parar a alguna parte, dándole impulso. Echar mercancías al mar. Echar basura a la calle."
echarais,"1. tr. Hacer que algo vaya a parar a alguna parte, dándole impulso. Echar mercancías al mar. Echar basura a la calle."
echaran,"1. tr. Hacer que algo vaya a parar a alguna parte, dándole impulso. Echar mercancías al mar. Echar basura a la calle."
echaras,"1. tr. Hacer que algo vaya a parar a alguna parte, dándole impulso. Echar mercancías al mar. Echar basura a la calle."
echare,"1. tr. Hacer que algo vaya a parar a alguna parte, dándole impulso. Echar mercancías al mar. Echar basura a la calle."
echareis,"1. tr. Hacer que algo vaya a parar a alguna parte, dándole impulso. Echar mercancías al mar. Echar basura a la calle."
echaremos,"1. tr. Hacer que algo vaya a parar a alguna parte, dándole impulso. Echar mercancías al mar. Echar basura a la calle."
echaren,"1. tr. Hacer que algo vaya a parar a alguna parte, dándole impulso. Echar mercancías al mar. Echar basura a la calle."
echares,"1. tr. Hacer que algo vaya a parar a alguna parte, dándole impulso. Echar mercancías al mar. Echar basura a la calle."
echaron,"1. tr. Hacer que algo vaya a parar a alguna parte, dándole impulso. Echar mercancías al mar. Echar basura a la calle."
echarpe,1. m. chal.
echará,"1. tr. Hacer que algo vaya a parar a alguna parte, dándole impulso. Echar mercancías al mar. Echar basura a la calle."
echarán,"1. tr. Hacer que algo vaya a parar a alguna parte, dándole impulso. Echar mercancías al mar. Echar basura a la calle."
echarás,"1. tr. Hacer que algo vaya a parar a alguna parte, dándole impulso. Echar mercancías al mar. Echar basura a la calle."
echaré,"1. tr. Hacer que algo vaya a parar a alguna parte, dándole impulso. Echar mercancías al mar. Echar basura a la calle."
echaréis,"1. tr. Hacer que algo vaya a parar a alguna parte, dándole impulso. Echar mercancías al mar. Echar basura a la calle."
echaría,"1. tr. Hacer que algo vaya a parar a alguna parte, dándole impulso. Echar mercancías al mar. Echar basura a la calle."
echaríais,"1. tr. Hacer que algo vaya a parar a alguna parte, dándole impulso. Echar mercancías al mar. Echar basura a la calle."
echaríamos,"1. tr. Hacer que algo vaya a parar a alguna parte, dándole impulso. Echar mercancías al mar. Echar basura a la calle."
echarían,"1. tr. Hacer que algo vaya a parar a alguna parte, dándole impulso. Echar mercancías al mar. Echar basura a la calle."
echarías,"1. tr. Hacer que algo vaya a parar a alguna parte, dándole impulso. Echar mercancías al mar. Echar basura a la calle."
echas,"1. tr. Hacer que algo vaya a parar a alguna parte, dándole impulso. Echar mercancías al mar. Echar basura a la calle."
echase,"1. tr. Hacer que algo vaya a parar a alguna parte, dándole impulso. Echar mercancías al mar. Echar basura a la calle."
echaseis,"1. tr. Hacer que algo vaya a parar a alguna parte, dándole impulso. Echar mercancías al mar. Echar basura a la calle."
echasen,"1. tr. Hacer que algo vaya a parar a alguna parte, dándole impulso. Echar mercancías al mar. Echar basura a la calle."
echases,"1. tr. Hacer que algo vaya a parar a alguna parte, dándole impulso. Echar mercancías al mar. Echar basura a la calle."
echaste,"1. tr. Hacer que algo vaya a parar a alguna parte, dándole impulso. Echar mercancías al mar. Echar basura a la calle."
echasteis,"1. tr. Hacer que algo vaya a parar a alguna parte, dándole impulso. Echar mercancías al mar. Echar basura a la calle."
echazón,1. f. echada (‖ acción de echar).
eche,"1. tr. Hacer que algo vaya a parar a alguna parte, dándole impulso. Echar mercancías al mar. Echar basura a la calle."
echemos,"1. tr. Hacer que algo vaya a parar a alguna parte, dándole impulso. Echar mercancías al mar. Echar basura a la calle."
echen,"1. tr. Hacer que algo vaya a parar a alguna parte, dándole impulso. Echar mercancías al mar. Echar basura a la calle."
eches,"1. tr. Hacer que algo vaya a parar a alguna parte, dándole impulso. Echar mercancías al mar. Echar basura a la calle."
echo,"1. m. desus. Tiro, lanzamiento."
echona,1. f. Chile. Hoz para segar.
echonería,"1. f. Ven. Jactancia, fanfarronada."
echá,"1. tr. Hacer que algo vaya a parar a alguna parte, dándole impulso. Echar mercancías al mar. Echar basura a la calle."
echábamos,"1. tr. Hacer que algo vaya a parar a alguna parte, dándole impulso. Echar mercancías al mar. Echar basura a la calle."
echáis,"1. tr. Hacer que algo vaya a parar a alguna parte, dándole impulso. Echar mercancías al mar. Echar basura a la calle."
echáramos,"1. tr. Hacer que algo vaya a parar a alguna parte, dándole impulso. Echar mercancías al mar. Echar basura a la calle."
echáremos,"1. tr. Hacer que algo vaya a parar a alguna parte, dándole impulso. Echar mercancías al mar. Echar basura a la calle."
echás,"1. tr. Hacer que algo vaya a parar a alguna parte, dándole impulso. Echar mercancías al mar. Echar basura a la calle."
echásemos,"1. tr. Hacer que algo vaya a parar a alguna parte, dándole impulso. Echar mercancías al mar. Echar basura a la calle."
eché,"1. tr. Hacer que algo vaya a parar a alguna parte, dándole impulso. Echar mercancías al mar. Echar basura a la calle."
echéis,"1. tr. Hacer que algo vaya a parar a alguna parte, dándole impulso. Echar mercancías al mar. Echar basura a la calle."
echó,"1. tr. Hacer que algo vaya a parar a alguna parte, dándole impulso. Echar mercancías al mar. Echar basura a la calle."
ecijana,"1. adj. Natural de Écija, ciudad de la provincia de Sevilla, en España. U. t. c. s."
ecijano,"1. adj. Natural de Écija, ciudad de la provincia de Sevilla, en España. U. t. c. s."
eclampsia,1. f. Med. Síndrome de carácter convulsivo que pueden padecer los niños y especialmente las mujeres embarazadas o recién paridas.
eclecticismo,"1. m. Adopción, en el juzgar u obrar, de una postura intermedia entre doctrinas o actitudes diversas."
eclesial,1. adj. Perteneciente o relativo a la Iglesia.
eclesiástica,"1. adj. Perteneciente o relativo a la Iglesia, y en particular a los clérigos."
eclesiásticamente,1. adv. De modo propio de un eclesiástico.
eclesiástico,"1. adj. Perteneciente o relativo a la Iglesia, y en particular a los clérigos."
eclipsa,1. tr. Astron. Dicho de un astro: Causar el eclipse de otro. U. t. c. prnl.
eclipsaba,1. tr. Astron. Dicho de un astro: Causar el eclipse de otro. U. t. c. prnl.
eclipsabais,1. tr. Astron. Dicho de un astro: Causar el eclipse de otro. U. t. c. prnl.
eclipsaban,1. tr. Astron. Dicho de un astro: Causar el eclipse de otro. U. t. c. prnl.
eclipsabas,1. tr. Astron. Dicho de un astro: Causar el eclipse de otro. U. t. c. prnl.
eclipsable,1. adj. Que se puede eclipsar y oscurecer.
eclipsad,1. tr. Astron. Dicho de un astro: Causar el eclipse de otro. U. t. c. prnl.
eclipsado,1. tr. Astron. Dicho de un astro: Causar el eclipse de otro. U. t. c. prnl.
eclipsamos,1. tr. Astron. Dicho de un astro: Causar el eclipse de otro. U. t. c. prnl.
eclipsan,1. tr. Astron. Dicho de un astro: Causar el eclipse de otro. U. t. c. prnl.
eclipsando,1. tr. Astron. Dicho de un astro: Causar el eclipse de otro. U. t. c. prnl.
eclipsar,1. tr. Astron. Dicho de un astro: Causar el eclipse de otro. U. t. c. prnl.
eclipsara,1. tr. Astron. Dicho de un astro: Causar el eclipse de otro. U. t. c. prnl.
eclipsarais,1. tr. Astron. Dicho de un astro: Causar el eclipse de otro. U. t. c. prnl.
eclipsaran,1. tr. Astron. Dicho de un astro: Causar el eclipse de otro. U. t. c. prnl.
eclipsaras,1. tr. Astron. Dicho de un astro: Causar el eclipse de otro. U. t. c. prnl.
eclipsare,1. tr. Astron. Dicho de un astro: Causar el eclipse de otro. U. t. c. prnl.
eclipsareis,1. tr. Astron. Dicho de un astro: Causar el eclipse de otro. U. t. c. prnl.
eclipsaremos,1. tr. Astron. Dicho de un astro: Causar el eclipse de otro. U. t. c. prnl.
eclipsaren,1. tr. Astron. Dicho de un astro: Causar el eclipse de otro. U. t. c. prnl.
eclipsares,1. tr. Astron. Dicho de un astro: Causar el eclipse de otro. U. t. c. prnl.
eclipsaron,1. tr. Astron. Dicho de un astro: Causar el eclipse de otro. U. t. c. prnl.
eclipsará,1. tr. Astron. Dicho de un astro: Causar el eclipse de otro. U. t. c. prnl.
eclipsarán,1. tr. Astron. Dicho de un astro: Causar el eclipse de otro. U. t. c. prnl.
eclipsarás,1. tr. Astron. Dicho de un astro: Causar el eclipse de otro. U. t. c. prnl.
eclipsaré,1. tr. Astron. Dicho de un astro: Causar el eclipse de otro. U. t. c. prnl.
eclipsaréis,1. tr. Astron. Dicho de un astro: Causar el eclipse de otro. U. t. c. prnl.
eclipsaría,1. tr. Astron. Dicho de un astro: Causar el eclipse de otro. U. t. c. prnl.
eclipsaríais,1. tr. Astron. Dicho de un astro: Causar el eclipse de otro. U. t. c. prnl.
eclipsaríamos,1. tr. Astron. Dicho de un astro: Causar el eclipse de otro. U. t. c. prnl.
eclipsarían,1. tr. Astron. Dicho de un astro: Causar el eclipse de otro. U. t. c. prnl.
eclipsarías,1. tr. Astron. Dicho de un astro: Causar el eclipse de otro. U. t. c. prnl.
eclipsas,1. tr. Astron. Dicho de un astro: Causar el eclipse de otro. U. t. c. prnl.
eclipsase,1. tr. Astron. Dicho de un astro: Causar el eclipse de otro. U. t. c. prnl.
eclipsaseis,1. tr. Astron. Dicho de un astro: Causar el eclipse de otro. U. t. c. prnl.
eclipsasen,1. tr. Astron. Dicho de un astro: Causar el eclipse de otro. U. t. c. prnl.
eclipsases,1. tr. Astron. Dicho de un astro: Causar el eclipse de otro. U. t. c. prnl.
eclipsaste,1. tr. Astron. Dicho de un astro: Causar el eclipse de otro. U. t. c. prnl.
eclipsasteis,1. tr. Astron. Dicho de un astro: Causar el eclipse de otro. U. t. c. prnl.
eclipse,1. m. Astron. Ocultación transitoria total o parcial de un astro por interposición de otro cuerpo celeste.
eclipsemos,1. tr. Astron. Dicho de un astro: Causar el eclipse de otro. U. t. c. prnl.
eclipsen,1. tr. Astron. Dicho de un astro: Causar el eclipse de otro. U. t. c. prnl.
eclipsi,1. m. desus. eclipse.
eclipso,1. tr. Astron. Dicho de un astro: Causar el eclipse de otro. U. t. c. prnl.
eclipsá,1. tr. Astron. Dicho de un astro: Causar el eclipse de otro. U. t. c. prnl.
eclipsábamos,1. tr. Astron. Dicho de un astro: Causar el eclipse de otro. U. t. c. prnl.
eclipsáis,1. tr. Astron. Dicho de un astro: Causar el eclipse de otro. U. t. c. prnl.
eclipsáramos,1. tr. Astron. Dicho de un astro: Causar el eclipse de otro. U. t. c. prnl.
eclipsáremos,1. tr. Astron. Dicho de un astro: Causar el eclipse de otro. U. t. c. prnl.
eclipsás,1. tr. Astron. Dicho de un astro: Causar el eclipse de otro. U. t. c. prnl.
eclipsásemos,1. tr. Astron. Dicho de un astro: Causar el eclipse de otro. U. t. c. prnl.
eclipsé,1. tr. Astron. Dicho de un astro: Causar el eclipse de otro. U. t. c. prnl.
eclipséis,1. tr. Astron. Dicho de un astro: Causar el eclipse de otro. U. t. c. prnl.
eclipsó,1. tr. Astron. Dicho de un astro: Causar el eclipse de otro. U. t. c. prnl.
eclisa,1. f. Tecnol. Pieza de acero que une los extremos de dos rieles consecutivos y los mantiene alineados.
eclosiona,1. intr. Biol. Dicho del capullo de una flor: abrirse (‖ separarse los pétalos).
eclosionaba,1. intr. Biol. Dicho del capullo de una flor: abrirse (‖ separarse los pétalos).
eclosionabais,1. intr. Biol. Dicho del capullo de una flor: abrirse (‖ separarse los pétalos).
eclosionaban,1. intr. Biol. Dicho del capullo de una flor: abrirse (‖ separarse los pétalos).
eclosionabas,1. intr. Biol. Dicho del capullo de una flor: abrirse (‖ separarse los pétalos).
eclosionad,1. intr. Biol. Dicho del capullo de una flor: abrirse (‖ separarse los pétalos).
eclosionado,1. intr. Biol. Dicho del capullo de una flor: abrirse (‖ separarse los pétalos).
eclosionamos,1. intr. Biol. Dicho del capullo de una flor: abrirse (‖ separarse los pétalos).
eclosionan,1. intr. Biol. Dicho del capullo de una flor: abrirse (‖ separarse los pétalos).
eclosionando,1. intr. Biol. Dicho del capullo de una flor: abrirse (‖ separarse los pétalos).
eclosionar,1. intr. Biol. Dicho del capullo de una flor: abrirse (‖ separarse los pétalos).
eclosionara,1. intr. Biol. Dicho del capullo de una flor: abrirse (‖ separarse los pétalos).
eclosionarais,1. intr. Biol. Dicho del capullo de una flor: abrirse (‖ separarse los pétalos).
eclosionaran,1. intr. Biol. Dicho del capullo de una flor: abrirse (‖ separarse los pétalos).
eclosionaras,1. intr. Biol. Dicho del capullo de una flor: abrirse (‖ separarse los pétalos).
eclosionare,1. intr. Biol. Dicho del capullo de una flor: abrirse (‖ separarse los pétalos).
eclosionareis,1. intr. Biol. Dicho del capullo de una flor: abrirse (‖ separarse los pétalos).
eclosionaremos,1. intr. Biol. Dicho del capullo de una flor: abrirse (‖ separarse los pétalos).
eclosionaren,1. intr. Biol. Dicho del capullo de una flor: abrirse (‖ separarse los pétalos).
eclosionares,1. intr. Biol. Dicho del capullo de una flor: abrirse (‖ separarse los pétalos).
eclosionaron,1. intr. Biol. Dicho del capullo de una flor: abrirse (‖ separarse los pétalos).
eclosionará,1. intr. Biol. Dicho del capullo de una flor: abrirse (‖ separarse los pétalos).
eclosionarán,1. intr. Biol. Dicho del capullo de una flor: abrirse (‖ separarse los pétalos).
eclosionarás,1. intr. Biol. Dicho del capullo de una flor: abrirse (‖ separarse los pétalos).
eclosionaré,1. intr. Biol. Dicho del capullo de una flor: abrirse (‖ separarse los pétalos).
eclosionaréis,1. intr. Biol. Dicho del capullo de una flor: abrirse (‖ separarse los pétalos).
eclosionaría,1. intr. Biol. Dicho del capullo de una flor: abrirse (‖ separarse los pétalos).
eclosionaríais,1. intr. Biol. Dicho del capullo de una flor: abrirse (‖ separarse los pétalos).
eclosionaríamos,1. intr. Biol. Dicho del capullo de una flor: abrirse (‖ separarse los pétalos).
eclosionarían,1. intr. Biol. Dicho del capullo de una flor: abrirse (‖ separarse los pétalos).
eclosionarías,1. intr. Biol. Dicho del capullo de una flor: abrirse (‖ separarse los pétalos).
eclosionas,1. intr. Biol. Dicho del capullo de una flor: abrirse (‖ separarse los pétalos).
eclosionase,1. intr. Biol. Dicho del capullo de una flor: abrirse (‖ separarse los pétalos).
eclosionaseis,1. intr. Biol. Dicho del capullo de una flor: abrirse (‖ separarse los pétalos).
eclosionasen,1. intr. Biol. Dicho del capullo de una flor: abrirse (‖ separarse los pétalos).
eclosionases,1. intr. Biol. Dicho del capullo de una flor: abrirse (‖ separarse los pétalos).
eclosionaste,1. intr. Biol. Dicho del capullo de una flor: abrirse (‖ separarse los pétalos).
eclosionasteis,1. intr. Biol. Dicho del capullo de una flor: abrirse (‖ separarse los pétalos).
eclosione,1. intr. Biol. Dicho del capullo de una flor: abrirse (‖ separarse los pétalos).
eclosionemos,1. intr. Biol. Dicho del capullo de una flor: abrirse (‖ separarse los pétalos).
eclosionen,1. intr. Biol. Dicho del capullo de una flor: abrirse (‖ separarse los pétalos).
eclosiono,1. intr. Biol. Dicho del capullo de una flor: abrirse (‖ separarse los pétalos).
eclosioná,1. intr. Biol. Dicho del capullo de una flor: abrirse (‖ separarse los pétalos).
eclosionábamos,1. intr. Biol. Dicho del capullo de una flor: abrirse (‖ separarse los pétalos).
eclosionáis,1. intr. Biol. Dicho del capullo de una flor: abrirse (‖ separarse los pétalos).
eclosionáramos,1. intr. Biol. Dicho del capullo de una flor: abrirse (‖ separarse los pétalos).
eclosionáremos,1. intr. Biol. Dicho del capullo de una flor: abrirse (‖ separarse los pétalos).
eclosionás,1. intr. Biol. Dicho del capullo de una flor: abrirse (‖ separarse los pétalos).
eclosionásemos,1. intr. Biol. Dicho del capullo de una flor: abrirse (‖ separarse los pétalos).
eclosioné,1. intr. Biol. Dicho del capullo de una flor: abrirse (‖ separarse los pétalos).
eclosionéis,1. intr. Biol. Dicho del capullo de una flor: abrirse (‖ separarse los pétalos).
eclosionó,1. intr. Biol. Dicho del capullo de una flor: abrirse (‖ separarse los pétalos).
eclosión,1. f. Biol. Acción de eclosionar.
ecléctica,1. adj. Perteneciente o relativo al eclecticismo.
ecléctico,1. adj. Perteneciente o relativo al eclecticismo.
eclímetro,1. m. Topogr. Instrumento con que se mide la inclinación de las pendientes.
eclíptica,"1. f. Astron. Círculo formado por la intersección del plano de la órbita terrestre con la esfera celeste, y que aparentemente recorre el Sol durante el año."
eclógica,1. adj. p. us. eglógico.
eclógico,1. adj. p. us. eglógico.
eco,1. m. Repetición de un sonido producida al ser reflejadas sus ondas por un obstáculo.
ecocardiografía,1. f. Med. Ecografía cardíaca.
ecocida,"1. adj. Que comete ecocidio. Apl. a pers., u. t. c. s."
ecocidio,"1. m. Destrucción del medio ambiente, en especial de forma intencionada."
ecografista,1. m. y f. Med. Especialista que realiza ecografías.
ecografía,1. f. Técnica empleada en medicina y que permite la exploración del interior del cuerpo mediante ultrasonidos.
ecográfica,1. adj. Perteneciente o relativo a la ecografía.
ecográfico,1. adj. Perteneciente o relativo a la ecografía.
ecoica,1. adj. Perteneciente o relativo al eco.
ecoico,1. adj. Perteneciente o relativo al eco.
